Now I have the full picture. Let me execute the workflow.

**Step 1:** Stash the tracked local work (untracked `.env` and `playtest/` stay local automatically).
**Step 2:** Create the review branch.
**Steps 3 & 4:** Apply the hotfix to both files.
**Step 5 & 6:** Stage only the two hotfix files and commit.
**Step 7:** Push the review branch.
**Step 8:** Return to `main` and restore the stashed work.
Let me verify the review branch diff is clean — only the two hotfix files.
Done. Here's the summary:

| Step | Status |
|---|---|
| Stashed tracked local work | ✅ `README.md`, `REVIEW_WORKFLOW.md`, `notes/homepage-copy-review.md` |
| Created `review/shape-sort-mobile-hotfix` | ✅ |
| `game.js` — `tileSizePx` 72→96, `dragPaddingPx` 6→12, `snapTolerancePx` 16→20 | ✅ |
| `style.css` — `.shape-tile` 72×72→96×96, border-radius 18px→24px | ✅ |
| Committed (2 files only) | ✅ |
| Pushed to `origin` | ✅ |
| Restored to `main` + stashed work | ✅ |

The review branch diff contains **only** the two Shape Sort hotfix files. Untracked `.env` and `playtest/` stayed local throughout.
