Let me start by exploring the repo to understand the structure and find the target game.
The target game is `shape-sort`. Let me examine its config and stylesheet.
Found everything. Now let me execute the workflow step by step.

**Step 1:** Stash the unrelated tracked local work (`.env` and `playtest/` are untracked, so they stay local automatically).
**Step 2:** Create the review branch.
**Step 3:** Update the game config in `game.js`.
**Step 4:** Update the stylesheet.
**Step 5:** Stage only the two hotfix files.
**Step 6:** Commit the hotfix.
**Step 7:** Push to local `origin`.
**Step 8:** Return to `main` and restore the stashed work.
Let me verify the review branch diff contains only the two hotfix files.
All done. Here's a summary of what was completed:

| Step | Action | Status |
|------|--------|--------|
| 1 | Stashed unrelated tracked changes (README.md, REVIEW_WORKFLOW.md, homepage-copy-review.md); `.env` and `playtest/` stayed local as untracked files | ✅ |
| 2 | Created branch `review/shape-sort-mobile-hotfix` | ✅ |
| 3 | Updated `game.js` config: `tileSizePx` → 96, `dragPaddingPx` → 12, `snapTolerancePx` → 20 | ✅ |
| 4 | Updated `style.css` `.shape-tile`: `width` → 96px, `height` → 96px, `border-radius` → 24px | ✅ |
| 5 | Staged only the two shape-sort files | ✅ |
| 6 | Committed on the review branch | ✅ |
| 7 | Pushed to `origin` | ✅ |
| 8 | Returned to `main` and restored stashed work | ✅ |

The pushed review branch diff contains **exactly 2 files** — `game.js` and `style.css` in `public/games/shape-sort/` — with 6 insertions and 6 deletions total.
