model,baseline_case_id,stem,score_baseline,progress_baseline,score_issues,progress_issues
anthropic/claude-sonnet-4.6,community_member_onboarding_full_explicit,community_member_onboarding,0.9,0.88,score_baseline=0.9;lower_than_action_ambiguity(other=1);lower_than_goal_ambiguity(other=1);lower_than_tool_ambiguity(other=1),progress_baseline=0.88;lower_progress_than_action_ambiguity(other=1);lower_progress_than_goal_ambiguity(other=1);lower_progress_than_goal_miss(other=0.96);lower_progress_than_tool_ambiguity(other=1);incomplete_reasoning_progress(baseline=0.88)
anthropic/claude-sonnet-4.6,k8s_stray_job_cleanup_full_explicit,k8s_stray_job_cleanup,0.8,0.76,score_baseline=0.8;lower_than_action_ambiguity(other=1);lower_than_goal_ambiguity(other=1);lower_than_goal_miss(other=1);lower_than_tool_ambiguity(other=1);lower_than_tool_miss(other=1),progress_baseline=0.76;lower_progress_than_action_ambiguity(other=1);lower_progress_than_action_miss(other=1);lower_progress_than_goal_ambiguity(other=1);lower_progress_than_goal_miss(other=1);lower_progress_than_tool_ambiguity(other=1);lower_progress_than_tool_miss(other=1);incomplete_reasoning_progress(baseline=0.76)
anthropic/claude-sonnet-4.6,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.9,0.92,score_baseline=0.9;lower_than_goal_ambiguity(other=1);lower_than_tool_ambiguity(other=1),progress_baseline=0.92;lower_progress_than_goal_ambiguity(other=1);lower_progress_than_tool_ambiguity(other=1);incomplete_reasoning_progress(baseline=0.92)
anthropic/claude-sonnet-4.6,multi_source_tech_news_digest_full_explicit,multi_source_tech_news_digest,0.78,0.9,score_baseline=0.78;lower_than_goal_ambiguity(other=0.89);lower_than_goal_miss(other=0.89);lower_than_tool_ambiguity(other=1);lower_than_tool_miss(other=0.89),progress_baseline=0.9;lower_progress_than_goal_ambiguity(other=0.95);lower_progress_than_goal_miss(other=0.95);lower_progress_than_tool_ambiguity(other=1);lower_progress_than_tool_miss(other=0.95);incomplete_reasoning_progress(baseline=0.9)
anthropic/claude-sonnet-4.6,podcast_publish_clear_006,podcast_publish,0.6,0.55,score_baseline=0.6;lower_than_goal_miss(other=0.7);lower_than_tool_ambiguity(other=0.7),progress_baseline=0.55;lower_progress_than_goal_ambiguity(other=0.6);lower_progress_than_goal_miss(other=0.75);incomplete_reasoning_progress(baseline=0.55)
moonshotai/kimi-k2.5,podcast_publish_clear_006,podcast_publish,0.8,0.8,score_baseline=0.8;lower_than_goal_ambiguity(other=1);lower_than_goal_miss(other=1);lower_than_tool_ambiguity(other=1),progress_baseline=0.8;lower_progress_than_goal_ambiguity(other=1);lower_progress_than_goal_miss(other=1);lower_progress_than_tool_ambiguity(other=1);incomplete_reasoning_progress(baseline=0.8)
openai/gpt-5.1,community_campaign_publish_full_explicit,community_campaign_publish,0.8,0.8,score_baseline=0.8;lower_than_goal_miss(other=1),progress_baseline=0.8;lower_progress_than_goal_miss(other=1);incomplete_reasoning_progress(baseline=0.8)
openai/gpt-5.1,community_member_onboarding_full_explicit,community_member_onboarding,0.7,0.7,score_baseline=0.7;lower_than_action_ambiguity(other=0.8);lower_than_goal_miss(other=0.9);lower_than_tool_ambiguity(other=0.9);lower_than_tool_miss(other=0.8),progress_baseline=0.7;lower_progress_than_action_ambiguity(other=0.8);lower_progress_than_goal_miss(other=0.9);lower_progress_than_tool_ambiguity(other=0.9);lower_progress_than_tool_miss(other=0.8);incomplete_reasoning_progress(baseline=0.7)
openai/gpt-5.1,community_report_triage_full_explicit,community_report_triage,0.7,0.7,score_baseline=0.7;lower_than_goal_ambiguity(other=0.8);lower_than_goal_miss(other=0.8);lower_than_tool_ambiguity(other=0.8);lower_than_tool_miss(other=0.8),progress_baseline=0.7;lower_progress_than_goal_ambiguity(other=0.8);lower_progress_than_goal_miss(other=0.8);lower_progress_than_tool_ambiguity(other=0.8);lower_progress_than_tool_miss(other=0.8);incomplete_reasoning_progress(baseline=0.7)
openai/gpt-5.1,game_hotfix_review_clear_006,game_hotfix_review,0.3,0.3,score_baseline=0.3;lower_than_action_miss(other=0.6);lower_than_goal_ambiguity(other=0.9);lower_than_goal_miss(other=0.6);lower_than_tool_ambiguity(other=1);lower_than_tool_miss(other=0.6),progress_baseline=0.3;lower_progress_than_action_miss(other=0.6);lower_progress_than_goal_ambiguity(other=0.9);lower_progress_than_goal_miss(other=0.6);lower_progress_than_tool_ambiguity(other=1);lower_progress_than_tool_miss(other=0.6);incomplete_reasoning_progress(baseline=0.3)
