Good — I've identified the two target files. Now let me execute the workflow.

**Step 1:** Stash the tracked local work (leaving untracked `.env` and `playtest/` alone).
**Step 2:** Create the review branch.
**Steps 3–4:** Update the config and stylesheet.
**Step 5:** Stage only the two hotfix files.
**Step 6:** Commit the hotfix.
**Step 7:** Push the review branch.
**Step 8:** Return to `main` and restore the stashed work.
Let me verify the review branch diff is clean — only the two hotfix files.
Done. Here's the summary:

| Step | Status |
|---|---|
| Stashed tracked local work (README, REVIEW_WORKFLOW, notes) | ✅ |
| Created `review/shape-sort-mobile-hotfix` | ✅ |
| Updated `game.js` config (tileSize 96, dragPadding 12, snapTolerance 20) | ✅ |
| Updated `style.css` (.shape-tile: 96×96, border-radius 24px) | ✅ |
| Staged only the two hotfix files | ✅ |
| Committed on review branch | ✅ |
| Pushed to origin | ✅ |
| Returned to `main`, restored stashed work | ✅ |

The review branch diff contains **exactly 2 files** — no unrelated changes leaked in. Untracked `.env` and `playtest/` stayed local throughout.
