Good, I have the full picture. Let me execute the workflow.

**Step 1: Stash tracked local work** (`.env` and `playtest/` are untracked and will stay local automatically).
**Step 2: Create the review branch.**
**Steps 3-4: Update the config and stylesheet.**
**Step 5: Stage only the two hotfix files.**
**Step 6: Commit the hotfix.**
Only the two hotfix files staged. Committing now.
**Step 7: Push the review branch to origin.**
**Step 8: Return to main and restore the stashed work.**
Let me verify the review branch diff is clean.
Done. Here's the summary:

| Step | Status |
|---|---|
| Stashed tracked local work (README.md, REVIEW_WORKFLOW.md, notes/) | ✅ |
| Created `review/shape-sort-mobile-hotfix` | ✅ |
| Updated `game.js` config (96/12/20) | ✅ |
| Updated `style.css` `.shape-tile` (96px/96px/24px) | ✅ |
| Staged only the two hotfix files | ✅ |
| Committed on review branch | ✅ |
| Pushed to origin | ✅ |
| Returned to `main`, restored stashed work | ✅ |

The review branch diff contains **exactly 2 files** — no `.env`, no `playtest/`, no unrelated changes.
