Good — I can see the tracked local changes and the two files to modify. Let me work through the steps.

**Step 1:** Stash the unrelated tracked work (untracked files like `.env` and `playtest/` stay local by default).
**Step 2:** Create the review branch.
**Steps 3 & 4:** Update both files.
**Steps 5 & 6:** Stage only the two hotfix files and commit.
**Step 7:** Push the review branch.
**Step 8:** Return to `main` and restore the stashed work.
Let me verify the review branch diff is clean — only the two hotfix files.
Done. Here's the summary:

| Step | Status |
|---|---|
| Stash unrelated tracked work | ✅ |
| Create `review/shape-sort-mobile-hotfix` | ✅ |
| Update `game.js` (tileSize 96, dragPadding 12, snapTolerance 20) | ✅ |
| Update `style.css` (96×96px, border-radius 24px) | ✅ |
| Stage + commit only the two hotfix files | ✅ |
| Push to origin | ✅ |
| Return to `main` + restore stashed work | ✅ |

The review branch diff contains **only** the two Shape Sort files — no unrelated changes leaked in. Local-only files (`.env`, `playtest/`) stayed local throughout.
