model	baseline_case_id	log_category_histogram_zh	agent_log_primary_cause_zh	note
anthropic/claude-sonnet-4.6	community_campaign_publish_action_ambiguity	preflight:0; approve:0; 429限流:2; 其他:3	5 次中 429/限流命中 2 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_campaign_publish_action_miss	preflight:0; approve:0; 429限流:2; 其他:3	5 次中 429/限流命中 2 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_campaign_publish_goal_ambiguity	preflight:0; approve:0; 429限流:1; 其他:4	5 次中 429/限流命中 1 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_campaign_publish_goal_miss	preflight:0; approve:0; 429限流:1; 其他:4	5 次中 429/限流命中 1 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_campaign_publish_tool_ambiguity	preflight:0; approve:0; 429限流:1; 其他:4	5 次中 429/限流命中 1 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_campaign_publish_tool_miss	preflight:0; approve:3; 429限流:1; 其他:1	5 次中 approve 命中 3 次，主要受审批门控影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_action_ambiguity	preflight:0; approve:1; 429限流:0; 其他:4	5 次中 approve 命中 1 次，主要受审批门控影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_action_miss	preflight:0; approve:0; 429限流:1; 其他:4	5 次中 429/限流命中 1 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_goal_ambiguity	preflight:0; approve:0; 429限流:0; 其他:5	未检出 preflight/approve/429 关键词，主要为任务执行或其他错误类型。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_goal_miss	preflight:0; approve:0; 429限流:1; 其他:4	5 次中 429/限流命中 1 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_tool_ambiguity	preflight:0; approve:3; 429限流:0; 其他:2	5 次中 approve 命中 3 次，主要受审批门控影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_member_onboarding_tool_miss	preflight:0; approve:0; 429限流:2; 其他:3	5 次中 429/限流命中 2 次，主要受 API 限流影响。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
anthropic/claude-sonnet-4.6	community_report_triage_action_ambiguity	preflight:1; approve:0; 429限流:0; 其他:4	5 次中 preflight 命中 1 次，主要是执行预检拦截。	非 baseline 维度；统计范围=agent.log，样本数=5（按 run 计）。
