model,baseline_case_id,stem,score_baseline,score_issues
anthropic/claude-sonnet-4.6,community_member_onboarding_full_explicit,community_member_onboarding,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_action_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0)
anthropic/claude-sonnet-4.6,k8s_stray_job_cleanup_full_explicit,k8s_stray_job_cleanup,0.8,score_baseline=0.8;lower_than_goal_ambiguity(other=1.0);lower_than_goal_miss(other=1.0);lower_than_action_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
anthropic/claude-sonnet-4.6,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0)
anthropic/claude-sonnet-4.6,multi_source_tech_news_digest_full_explicit,multi_source_tech_news_digest,0.78,score_baseline=0.78;lower_than_goal_ambiguity(other=0.89);lower_than_goal_miss(other=0.89);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=0.89)
anthropic/claude-sonnet-4.6,podcast_publish_clear_006,podcast_publish,0.6,score_baseline=0.6;lower_than_goal_missing(other=0.7);lower_than_tool_ambiguity(other=0.7)
moonshotai/kimi-k2.5,podcast_publish_clear_006,podcast_publish,0.8,score_baseline=0.8;lower_than_goal_ambiguity(other=1.0);lower_than_goal_missing(other=1.0);lower_than_tool_ambiguity(other=1.0)
openai/gpt-5.1,community_campaign_publish_full_explicit,community_campaign_publish,0.8,score_baseline=0.8;lower_than_goal_miss(other=1.0)
openai/gpt-5.1,community_member_onboarding_full_explicit,community_member_onboarding,0.7,score_baseline=0.7;lower_than_goal_miss(other=0.9);lower_than_action_ambiguity(other=0.8);lower_than_tool_ambiguity(other=0.9);lower_than_tool_miss(other=0.8)
openai/gpt-5.1,community_report_triage_full_explicit,community_report_triage,0.7,score_baseline=0.7;lower_than_goal_ambiguity(other=0.8);lower_than_goal_miss(other=0.8);lower_than_tool_ambiguity(other=0.8);lower_than_tool_miss(other=0.8)
openai/gpt-5.1,game_hotfix_review_clear_006,game_hotfix_review,0.3,score_baseline=0.3;lower_than_action_missing(other=0.6);lower_than_goal_ambiguity(other=0.9);lower_than_goal_missing(other=0.6);lower_than_tool_ambiguity(other=1.0);lower_than_tool_missing(other=0.6)
openai/gpt-5.1,industry_news_credibility_filter_full_explicit,industry_news_credibility_filter,0.8,score_baseline=0.8;lower_than_tool_miss(other=1.0)
openai/gpt-5.1,k8s_stray_job_cleanup_full_explicit,k8s_stray_job_cleanup,0.6,score_baseline=0.6;lower_than_goal_miss(other=0.7);lower_than_tool_ambiguity(other=0.8)
openai/gpt-5.1,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.5,score_baseline=0.5
openai/gpt-5.1,kb_article_publish_full_explicit,kb_article_publish,0.6,score_baseline=0.6;lower_than_goal_miss(other=0.7);lower_than_tool_miss(other=0.7)
openai/gpt-5.1,podcast_publish_clear_006,podcast_publish,0.6,score_baseline=0.6
openai/gpt-5.1,travel_trip_packet_full_explicit,travel_trip_packet,0.8,score_baseline=0.8
openai/gpt-5.4,community_member_onboarding_full_explicit,community_member_onboarding,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4,community_report_triage_full_explicit,community_report_triage,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_goal_miss(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4,game_hotfix_review_clear_006,game_hotfix_review,0.6,score_baseline=0.6;lower_than_action_ambiguity(other=0.8);lower_than_action_missing(other=0.8);lower_than_goal_ambiguity(other=1.0);lower_than_goal_missing(other=1.0);lower_than_tool_ambiguity(other=0.7);lower_than_tool_missing(other=0.8)
openai/gpt-5.4,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.7,score_baseline=0.7;lower_than_goal_ambiguity(other=0.9);lower_than_goal_miss(other=1.0);lower_than_tool_ambiguity(other=0.9)
openai/gpt-5.4,podcast_publish_clear_006,podcast_publish,0.9,score_baseline=0.9;lower_than_tool_ambiguity(other=1.0)
openai/gpt-5.4-mini,community_campaign_publish_full_explicit,community_campaign_publish,0.9,score_baseline=0.9;lower_than_goal_miss(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4-mini,community_member_onboarding_full_explicit,community_member_onboarding,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4-mini,community_report_triage_full_explicit,community_report_triage,0.9,score_baseline=0.9;lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4-mini,email_reply_meeting_full_explicit,email_reply_meeting,0.8,score_baseline=0.8
openai/gpt-5.4-mini,k8s_stray_job_cleanup_full_explicit,k8s_stray_job_cleanup,0.8,score_baseline=0.8;lower_than_goal_ambiguity(other=1.0)
openai/gpt-5.4-mini,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.5,score_baseline=0.5;lower_than_goal_ambiguity(other=0.6);lower_than_action_miss(other=0.7)
openai/gpt-5.4-mini,kb_article_publish_full_explicit,kb_article_publish,0.9,score_baseline=0.9;lower_than_goal_ambiguity(other=1.0);lower_than_goal_miss(other=1.0);lower_than_tool_ambiguity(other=1.0);lower_than_tool_miss(other=1.0)
openai/gpt-5.4-mini,pg_online_index_creation_full_explicit,pg_online_index_creation,0.8,score_baseline=0.8;lower_than_goal_ambiguity(other=1.0);lower_than_tool_ambiguity(other=1.0)
openai/gpt-5.4-mini,podcast_publish_clear_006,podcast_publish,0.7,score_baseline=0.7
openai/gpt-5.4-mini,project_state_standup_clear_006,project_state_standup,0.9,score_baseline=0.9
