model,baseline_case_id,stem,score_baseline,progress_baseline,score_issues,progress_issues
anthropic/claude-opus-4.6,multi_source_tech_news_digest_full_explicit,multi_source_tech_news_digest,0.95,1,score_baseline=0.95;lower_than_tool_ambiguity(other=1);lower_than_tool_miss(other=1),progress_baseline=1
deepseek/deepseek-v3.2,email_reply_meeting_full_explicit,email_reply_meeting,0.833333,0.8,score_baseline=0.8333;subperfect_mean_score(baseline=0.8333),progress_baseline=0.8;incomplete_reasoning_progress(baseline=0.8)
deepseek/deepseek-v3.2,k8s_stray_job_cleanup_full_explicit,k8s_stray_job_cleanup,0.5,0.4,score_baseline=0.5;subperfect_mean_score(baseline=0.5),progress_baseline=0.4;incomplete_reasoning_progress(baseline=0.4)
deepseek/deepseek-v3.2,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.5,0.2,score_baseline=0.5;subperfect_mean_score(baseline=0.5),progress_baseline=0.2;incomplete_reasoning_progress(baseline=0.2)
deepseek/deepseek-v3.2,kb_article_publish_full_explicit,kb_article_publish,0.5,0.6,score_baseline=0.5;subperfect_mean_score(baseline=0.5),progress_baseline=0.6;incomplete_reasoning_progress(baseline=0.6)
deepseek/deepseek-v3.2,pg_online_index_creation_full_explicit,pg_online_index_creation,0.5,0.4,score_baseline=0.5;subperfect_mean_score(baseline=0.5),progress_baseline=0.4;incomplete_reasoning_progress(baseline=0.4)
deepseek/deepseek-v3.2,project_state_standup_full_explicit_006,project_state_standup,0.833333,0.866667,score_baseline=0.8333;lower_than_action_ambiguity(other=1);lower_than_action_miss(other=1);lower_than_goal_ambiguity(other=1),progress_baseline=0.8667;lower_progress_than_action_ambiguity(other=1);lower_progress_than_action_miss(other=1);lower_progress_than_goal_ambiguity(other=1);incomplete_reasoning_progress(baseline=0.8667)
deepseek/deepseek-v3.2,travel_trip_packet_full_explicit,travel_trip_packet,0.5,0.6,score_baseline=0.5;subperfect_mean_score(baseline=0.5),progress_baseline=0.6;incomplete_reasoning_progress(baseline=0.6)
minimax/minimax-m2.7,community_report_triage_full_explicit,community_report_triage,0.833333,0.833333,score_baseline=0.8333;lower_than_goal_miss(other=1);lower_than_tool_miss(other=1),progress_baseline=0.8333;lower_progress_than_action_ambiguity(other=0.9443);lower_progress_than_goal_ambiguity(other=1);lower_progress_than_goal_miss(other=1);lower_progress_than_tool_miss(other=1);incomplete_reasoning_progress(baseline=0.8333)
moonshotai/kimi-k2.5,community_campaign_publish_full_explicit,community_campaign_publish,0.666667,0.866667,score_baseline=0.6667;lower_than_action_ambiguity(other=0.8333);lower_than_goal_ambiguity(other=0.8333);lower_than_tool_ambiguity(other=0.8333),progress_baseline=0.8667;incomplete_reasoning_progress(baseline=0.8667)
moonshotai/kimi-k2.5,community_member_onboarding_full_explicit,community_member_onboarding,0.833333,0.8,score_baseline=0.8333;lower_than_goal_miss(other=1),progress_baseline=0.8;lower_progress_than_goal_ambiguity(other=0.8667);lower_progress_than_goal_miss(other=1);lower_progress_than_tool_ambiguity(other=0.9333);incomplete_reasoning_progress(baseline=0.8)
moonshotai/kimi-k2.5,game_hotfix_review_full_explicit_006,game_hotfix_review,0.666667,0.8,score_baseline=0.6667;lower_than_action_ambiguity(other=1);lower_than_goal_miss(other=1),progress_baseline=0.8;lower_progress_than_action_ambiguity(other=1);lower_progress_than_action_miss(other=1);lower_progress_than_goal_miss(other=1);incomplete_reasoning_progress(baseline=0.8)
moonshotai/kimi-k2.5,podcast_publish_full_explicit_006,podcast_publish,0.833333,0.666667,score_baseline=0.8333;subperfect_mean_score(baseline=0.8333),progress_baseline=0.6667;incomplete_reasoning_progress(baseline=0.6667)
moonshotai/kimi-k2.5,project_state_standup_full_explicit_006,project_state_standup,0.666667,0.466667,score_baseline=0.6667;subperfect_mean_score(baseline=0.6667),progress_baseline=0.4667;lower_progress_than_action_ambiguity(other=0.5333);lower_progress_than_action_miss(other=0.5333);incomplete_reasoning_progress(baseline=0.4667)
openai/gpt-5.4-mini,kafka_consumer_lag_reset_full_explicit,kafka_consumer_lag_reset,0.833333,0.733333,score_baseline=0.8333;subperfect_mean_score(baseline=0.8333),progress_baseline=0.7333;incomplete_reasoning_progress(baseline=0.7333)
volcengine/doubao-seed-2.0-pro,podcast_publish_full_explicit_006,podcast_publish,0.666667,1,score_baseline=0.6667;subperfect_mean_score(baseline=0.6667),progress_baseline=1
z-ai/glm-5-turbo,game_hotfix_review_full_explicit_006,game_hotfix_review,0.833333,0.666667,score_baseline=0.8333;lower_than_goal_ambiguity(other=1),progress_baseline=0.6667;lower_progress_than_action_ambiguity(other=1);lower_progress_than_goal_ambiguity(other=1);lower_progress_than_goal_miss(other=0.8);lower_progress_than_tool_miss(other=0.8);incomplete_reasoning_progress(baseline=0.6667)
